iter	Logloss
0	0.6902708865
1	0.6876667865
2	0.6848365313
3	0.6826052726
4	0.6800132786
5	0.6777267093
6	0.6751750348
7	0.673086969
8	0.6702613863
9	0.667323555
10	0.6646989246
11	0.6621092914
12	0.6596326219
13	0.6569004654
14	0.6555529359
15	0.6532313336
16	0.6507221295
17	0.6487661409
18	0.6467684429
19	0.6445992838
20	0.6424443584
21	0.6399534949
22	0.6375117334
23	0.6354847288
24	0.6333006259
25	0.6309580994
26	0.6288673639
27	0.6276749154
28	0.6256432991
29	0.6235666719
30	0.6220713654
31	0.6198788667
32	0.617961867
33	0.616049279
34	0.6147611005
35	0.6130848915
36	0.6112751883
37	0.6093129597
38	0.6072879179
39	0.6053703601
40	0.6036292301
41	0.6016306099
42	0.5995426211
43	0.5976167778
44	0.5957734716
45	0.5932807683
46	0.591856065
47	0.5898784692
48	0.5878787421
49	0.5861623093
50	0.5847587993
51	0.5828705032
52	0.5814517981
53	0.5798895914
54	0.5783583842
55	0.5765907452
56	0.5749056535
57	0.5733425127
58	0.5720679825
59	0.5708257109
60	0.5700067419
61	0.5681538212
62	0.5665457045
63	0.5656633616
64	0.5640962823
65	0.5628439162
66	0.5611963313
67	0.5593726197
68	0.5580418907
69	0.5565096357
70	0.5555682466
71	0.5537411588
72	0.552829578
73	0.551512535
74	0.5496968689
75	0.5484011661
76	0.5473472637
77	0.5459246169
78	0.5442992279
79	0.543234064
80	0.5418274564
81	0.5404605032
82	0.5392780749
83	0.5379649464
84	0.5366958225
85	0.5356176768
86	0.5345556551
87	0.5333371465
88	0.5323316619
89	0.531015589
90	0.5295928633
91	0.5286579806
92	0.5274025613
93	0.5259410872
94	0.524564101
95	0.5232363365
96	0.5221660999
97	0.5213488048
98	0.520266878
99	0.518762477
100	0.5181831005
101	0.5169903127
102	0.5156617415
103	0.5146510327
104	0.5138594239
105	0.513109962
106	0.5118022635
107	0.5107683257
108	0.5096058756
109	0.5086949873
110	0.5077383892
111	0.5066315538
112	0.5057327879
113	0.5049911168
114	0.5042011651
115	0.5027933423
116	0.501773357
117	0.5007540179
118	0.4996678973
119	0.4985831741
120	0.4975569598
121	0.496577129
122	0.4955496116
