index,release_date,description,Movie,Rating,Year,Runtime
16,1986,"   Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",Aliens - Die Rückkehr,8.3,1986,137
17,1983,"   After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Die Rückkehr der Jedi-Ritter,8.3,1983,131
18,1971,"   In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Uhrwerk Orange,8.3,1971,136
19,1968,"   After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",2001: Odyssee im Weltraum,8.3,1968,149
20,1927,"   In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Metropolis,8.3,1927,153
21,2005,"   In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",V wie Vendetta,8.2,2005,132
22,1979,   A guide leads two men through an area known as the Zone to find a room that grants wishes.,Stalker,8.2,1979,162
23,2017,"   In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Logan: The Wolverine,8.1,2017,137
24,2014,   An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,"PK - Andere Sterne, Andere Sitten",8.1,2014,153
25,2015,"   In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Mad Max: Fury Road,8.1,2015,120
26,1997,   Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,Neon Genesis Evangelion - The End of Evangelion,8.1,1997,87
27,1993,   A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Jurassic Park,8.1,1993,127
28,1984,   Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Nausicaä - Prinzessin aus dem Tal der Winde,8.1,1984,117
29,1982,   A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Das Ding aus einer anderen Welt,8.1,1982,109
30,1982,"   A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Der Blade Runner,8.1,1982,117
31,1972,   A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Solaris,8.1,1972,167
32,2015,"   An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Der Marsianer: Rettet Mark Watney,8.0,2015,144
33,2014,   A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Guardians of the Galaxy,8.0,2014,121
34,2017,"   Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Blade Runner 2049,8.0,2017,164
35,2013,"   In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Her,8.0,2013,126
36,2016,"   A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Deadpool,8.0,2016,108
37,2012,   Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,The Avengers,8.0,2012,143
38,2004,   A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,G.O.R.A.,8.0,2004,127
39,2001,"   After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Donnie Darko,8.0,2001,113
40,1999,   A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Der Gigant aus dem All,8.0,1999,86
41,1995,"   In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",12 Monkeys,8.0,1995,129
42,1995,   A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Ghost in the Shell,8.0,1995,83
43,1988,   A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,Akira,8.0,1988,124
44,1986,   A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Das Schloss im Himmel,8.0,1986,125
45,1984,"   A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",Terminator,8.0,1984,107
46,1968,"   An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",Planet der Affen,8.0,1968,112
47,2018,"   Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",Isle of Dogs - Ataris Reise,7.9,2018,101
48,2017,"   Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Thor: Tag der Entscheidung,7.9,2017,130
49,2016,   A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,Arrival,7.9,2016,116
50,2015,"   As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Star Wars - Episode VII: Das Erwachen der Macht,7.9,2015,138
