Movie,Rating,Release Year,Runtime,Metascore,Votes,Gross(Million $),Director,Stars
Thor: Tag der Entscheidung,7.9,2017,130,74,"603,742",315.06,TaikaWaititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo"
Arrival,7.9,2016,116,81,"604,325",100.55,DenisVilleneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
Star Wars - Episode VII: Das Erwachen der Macht,7.9,2015,138,80,"867,310",936.66,J.J.Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson"
Movie,Rating,Release Year,Runtime,Metascore,Votes,Gross(Million $),Director,Stars
X-Men: Zukunft ist Vergangenheit,7.9,2014,132,75,"665,598",233.92,BryanSinger,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy"
Edge of Tomorrow - Live. Die. Repeat,7.9,2014,113,71,"606,296",100.21,DougLiman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson"
Moon,7.9,2009,97,67,"337,692",5.01,DuncanJones,"Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw"
District 9,7.9,2009,112,81,"641,900",115.65,NeillBlomkamp,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt"
Star Trek,7.9,2009,127,82,"579,674",257.73,J.J.Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy"
Iron Man,7.9,2008,126,79,"951,668",318.41,JonFavreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges"
Cowboy Bebop - Der Film,7.9,2001,115,61,"43,385",1.00,"Shin'ichirôWatanabe,TensaiOkamura,HiroyukiOkiura,YoshiyukiTakei","Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera"
Children of Men,7.9,2006,109,84,"468,493",35.55,AlfonsoCuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine"
Brazil,7.9,1985,132,84,"188,934",9.93,TerryGilliam,"Jonathan Pryce, Kim Greist, Robert De Niro, Katherine Helmond"
King Kong und die weiße Frau,7.9,1933,100,90,"80,012",10.00,"MerianC.Cooper,ErnestB.Schoedsack","Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher"
Star Wars: Rogue One,7.8,2016,133,65,"563,108",532.18,GarethEdwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen"
The First Avenger: Civil War,7.8,2016,147,75,"676,683",408.08,"AnthonyRusso,JoeRusso","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
Baymax - Riesiges Robowabohu,7.8,2014,102,74,"415,473",222.53,"DonHall,ChrisWilliams","Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller"
Alles eine Frage der Zeit,7.8,2013,123,55,"309,495",15.32,RichardCurtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson"
Avatar - Aufbruch nach Pandora,7.8,2009,162,83,"1,128,084",760.51,JamesCameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez"
Serenity: Flucht in neue Welten,7.8,2005,119,74,"284,719",25.51,JossWhedon,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk"
Gattaca,7.8,1997,106,64,"283,200",12.34,AndrewNiccol,"Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal"
Zurück in die Zukunft II,7.8,1989,108,57,"486,680",118.50,RobertZemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson"
Predator,7.8,1987,107,45,"374,898",59.74,JohnMcTiernan,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo"
Ghostbusters - Die Geisterjäger,7.8,1984,105,71,"358,788",238.63,IvanReitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis"
E.T. - Der Außerirdische,7.8,1982,115,91,"376,010",435.11,StevenSpielberg,"Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace"
Der phantastische Planet,7.8,1973,72,73,"26,121",0.19,RenéLaloux,"Barry Bostwick, Jennifer Drake, Eric Baugin, Jean Topart"
Frankensteins Braut,7.8,1935,75,95,"43,904",4.36,JamesWhale,"Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson"
Deadpool 2,7.7,2018,119,66,"490,219",324.59,DavidLeitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
The Return of the First Avenger,7.7,2014,136,70,"747,734",259.77,"AnthonyRusso,JoeRusso","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford"
Gravity,7.7,2013,91,96,"774,950",274.09,AlfonsoCuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen"
Star Trek Into Darkness,7.7,2013,132,72,"465,156",228.78,J.J.Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch"
X-Men: Erste Entscheidung,7.7,2011,131,65,"650,381",146.41,MatthewVaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon"
Paprika,7.7,2006,90,81,"72,676",0.88,SatoshiKon,"Megumi Hayashibara, Tôru Emori, Katsunosuke Hori, Tôru Furuya"
Ex Machina,7.7,2014,108,78,"479,571",25.44,AlexGarland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno"
Vampire Hunter D: Bloodlust,7.7,2000,103,62,"29,553",0.15,YoshiakiKawajiri,"Andrew Philpot, John Rafter Lee, Pamela Adlon, Wendee Lee"
Das fünfte Element,7.7,1997,126,52,"437,770",63.54,LucBesson,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm"
Star Trek II: Der Zorn des Khan,7.7,1982,113,67,"113,602",78.91,NicholasMeyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan"
Guardians of the Galaxy Vol. 2,7.6,2017,136,67,"580,658",389.81,JamesGunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel"
Die Unglaublichen 2,7.6,2018,118,80,"255,081",608.58,BradBird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner"
Planet der Affen: Revolution,7.6,2014,130,79,"414,123",208.55,MattReeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee"
Planet der Affen: Prevolution,7.6,2011,105,68,"498,662",176.76,RupertWyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval"
Zombieland,7.6,2009,88,73,"523,862",75.59,RubenFleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin"
Watchmen: Die Wächter,7.6,2009,162,56,"509,815",107.51,ZackSnyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman"
Butterfly Effect,7.6,2004,113,30,"454,673",57.94,"EricBress,J.MackyeGruber","Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson"
28 Tage später,7.6,2002,113,73,"379,787",45.06,DannyBoyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer"
