Movie,Rating,Year,Runtime,Metascore,Votes,Gross,Director,Stars
The Avengers,8.0,2012,143,69,"1,272,277",$623.28M,JossWhedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner"
G.O.R.A.,8.0,2004,127,nan,"57,662",nan,ÖmerFarukSorak,"Cem Yilmaz, Özge Özberk, Ozan Güven, Safak Sezer"
Donnie Darko,8.0,2001,113,88,"745,315",$1.48M,RichardKelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne"
Der Gigant aus dem All,8.0,1999,86,85,"173,602",$23.16M,BradBird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel"
12 Monkeys,8.0,1995,129,74,"582,542",$57.14M,TerryGilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito"
Ghost in the Shell,8.0,1995,83,76,"130,734",$0.52M,MamoruOshii,"Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera"
Akira,8.0,1988,124,nan,"166,829",$0.55M,KatsuhiroÔtomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda"
Das Schloss im Himmel,8.0,1986,125,78,"151,877",nan,HayaoMiyazaki,"Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada"
Terminator,8.0,1984,107,84,"803,699",$38.40M,JamesCameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Planet der Affen,8.0,1968,112,79,"166,141",$33.40M,FranklinJ.Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans"
Isle of Dogs - Ataris Reise,7.9,2018,101,82,"142,181",$32.02M,WesAnderson,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban"
Thor: Tag der Entscheidung,7.9,2017,130,74,"601,718",$315.06M,TaikaWaititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo"
Arrival,7.9,2016,116,81,"602,981",$100.55M,DenisVilleneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
Star Wars - Episode VII: Das Erwachen der Macht,7.9,2015,138,80,"866,543",$936.66M,J.J.Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson"
