Movie,Rating,Year,Runtime,Metascore,Votes,Gross,Director,Stars
"Der Tag, an dem die Erde stillstand",7.7,1951,85,nan,"76,596",nan,RobertWise,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe"
Der Unsichtbare,7.7,1933,71,87,"31,099",nan,JamesWhale,"Claude Rains, Gloria Stuart, William Harrigan, Henry Travers"
Guardians of the Galaxy Vol. 2,7.6,2017,136,67,"579,496",$389.81M,JamesGunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel"
Die Unglaublichen 2,7.6,2018,118,80,"254,574",$608.58M,BradBird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner"
Who Am I: Kein System ist sicher,7.6,2014,102,nan,"50,346",nan,BaranboOdar,"Tom Schilling, Elyas M'Barek, Wotan Wilke Möhring, Antoine Monot Jr."
Planet der Affen: Revolution,7.6,2014,130,79,"413,845",$208.55M,MattReeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee"
Planet der Affen: Prevolution,7.6,2011,105,68,"498,335",$176.76M,RupertWyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval"
Zombieland,7.6,2009,88,73,"523,434",$75.59M,RubenFleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin"
Watchmen: Die Wächter,7.6,2009,162,56,"508,733",$107.51M,ZackSnyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman"
Butterfly Effect,7.6,2004,113,30,"454,348",$57.94M,"EricBress,J.MackyeGruber","Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson"
28 Tage später,7.6,2002,113,73,"379,458",$45.06M,DannyBoyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer"
