iter	Passed	Remaining
404	4952	7276
405	4962	7259
406	4971	7243
407	4980	7226
408	4989	7210
409	4998	7193
410	5008	7177
411	5018	7161
412	5038	7160
413	5058	7159
414	5081	7163
415	5104	7166
416	5135	7179
417	5162	7188
418	5187	7193
419	5210	7195
420	5234	7199
421	5257	7201
422	5279	7201
423	5294	7192
424	5308	7182
425	5320	7169
426	5333	7157
427	5345	7144
428	5357	7131
429	5370	7118
430	5380	7103
431	5393	7092
432	5410	7084
433	5422	7071
434	5435	7059
435	5446	7044
436	5458	7032
437	5470	7019
438	5482	7006
439	5494	6992
440	5506	6979
441	5519	6968
442	5531	6955
443	5541	6939
444	5554	6927
445	5566	6914
446	5577	6899
447	5588	6885
448	5599	6872
449	5611	6858
450	5621	6842
451	5631	6827
452	5643	6814
453	5653	6799
454	5665	6786
455	5676	6772
456	5688	6759
457	5699	6745
458	5710	6731
459	5720	6715
460	5731	6701
461	5743	6688
462	5752	6672
463	5764	6658
464	5775	6645
465	5785	6630
466	5796	6615
467	5806	6600
468	5815	6584
469	5826	6569
470	5835	6553
471	5844	6538
472	5855	6523
473	5864	6508
474	5875	6494
475	5887	6481
476	5898	6467
477	5920	6465
478	5931	6451
479	5943	6439
480	5956	6426
481	5968	6414
482	5979	6400
483	5991	6387
484	6004	6375
485	6015	6362
486	6027	6349
487	6040	6337
488	6051	6323
489	6060	6308
490	6072	6294
491	6085	6282
492	6096	6269
493	6106	6254
494	6117	6240
495	6127	6226
496	6137	6211
497	6147	6196
498	6156	6181
499	6168	6168
500	6182	6157
501	6194	6144
502	6204	6130
503	6218	6120
504	6230	6107
505	6244	6096
506	6255	6083
507	6268	6070
508	6281	6059
509	6293	6046
510	6305	6033
511	6320	6024
512	6333	6012
513	6344	5998
514	6353	5983
515	6365	5970
516	6377	5957
517	6387	5943
518	6399	5930
519	6411	5918
520	6422	5904
521	6433	5890
522	6445	5878
523	6458	5867
524	6469	5853
525	6480	5839
526	6492	5827
527	6501	5811
528	6513	5799
529	6525	5787
530	6538	5774
531	6549	5761
532	6563	5750
533	6575	5737
534	6587	5725
535	6598	5711
536	6611	5700
537	6623	5687
538	6635	5675
539	6646	5662
540	6658	5649
541	6672	5638
542	6683	5625
543	6694	5611
544	6706	5599
545	6718	5586
546	6729	5572
547	6741	5560
548	6754	5548
549	6766	5536
550	6777	5522
551	6788	5509
552	6800	5496
553	6810	5482
554	6821	5469
555	6833	5456
556	6844	5443
557	6855	5430
558	6868	5418
559	6878	5404
560	6888	5390
561	6899	5377
562	6911	5364
563	6924	5352
564	6937	5341
565	6950	5329
566	6962	5316
567	6973	5303
568	6984	5290
569	6995	5277
570	7006	5264
571	7017	5250
572	7028	5237
573	7041	5226
574	7053	5213
575	7065	5201
576	7077	5188
577	7090	5176
578	7100	5162
579	7112	5150
580	7124	5138
581	7135	5124
582	7147	5112
583	7160	5100
584	7172	5088
585	7186	5076
586	7197	5064
587	7210	5052
588	7223	5040
589	7237	5029
590	7247	5015
591	7259	5003
592	7272	4991
593	7284	4978
594	7294	4965
595	7306	4952
596	7318	4940
597	7329	4927
598	7342	4915
599	7354	4903
600	7366	4890
601	7377	4877
602	7389	4865
603	7401	4852
604	7414	4840
605	7425	4827
606	7438	4815
607	7451	4804
608	7464	4792
609	7477	4780
610	7489	4767
611	7500	4755
612	7513	4743
613	7522	4729
614	7535	4717
615	7547	4704
616	7558	4692
617	7569	4678
618	7581	4666
619	7593	4654
620	7602	4640
621	7614	4627
622	7626	4615
623	7638	4602
624	7650	4590
625	7661	4577
