iter	RMSE
136	0.8356379209
137	0.8354191281
138	0.8352117703
139	0.8350768407
140	0.8349141557
141	0.8347393681
142	0.8346072933
143	0.8343855921
144	0.8342392026
145	0.834097987
146	0.8339022621
147	0.8337414171
148	0.8336143467
149	0.833502657
150	0.8333549519
151	0.833205567
152	0.8330512023
153	0.8329344827
154	0.8327458303
155	0.8325941479
156	0.8324188983
157	0.8322508207
158	0.8320685175
159	0.8319073126
160	0.8317272397
161	0.831507825
162	0.8313377298
163	0.8311454141
164	0.8309451197
165	0.8307527526
166	0.8305851624
167	0.8304178617
168	0.8302375581
169	0.8301079584
170	0.8299253785
171	0.8297784627
172	0.829565625
173	0.8294001896
174	0.8292531451
175	0.8290943868
176	0.8289171588
177	0.8287809987
178	0.8286450596
179	0.8284906723
180	0.828305544
181	0.8281518331
182	0.828006895
183	0.8278327399
184	0.8276710731
185	0.8275141672
186	0.8273892893
187	0.8272232263
188	0.8270076995
189	0.8268671286
190	0.8267215619
191	0.8265354013
192	0.8263387315
193	0.8261863311
194	0.8260039351
195	0.8258708446
196	0.8257156187
197	0.8255632452
198	0.8253777226
199	0.8251829993
200	0.8250363601
201	0.8248622405
202	0.8246687249
203	0.8244999754
204	0.8243597872
205	0.8242281824
206	0.8240918928
207	0.8239149592
208	0.8237830479
209	0.8236187328
210	0.823427339
211	0.8232767551
212	0.8231214752
213	0.8229772825
214	0.8228224329
215	0.8226526497
216	0.8224993064
217	0.8223522345
218	0.8221883607
219	0.822029918
220	0.8218607956
221	0.8216899189
222	0.8215361442
223	0.8213898849
224	0.8212235026
225	0.8210830501
226	0.820907908
227	0.8207120708
228	0.8205138855
229	0.8203480262
230	0.8201579494
231	0.819961829
232	0.8197679848
233	0.8195576562
234	0.8194104528
235	0.81922462
236	0.81909504
237	0.8189031566
238	0.8187667127
239	0.8185493829
240	0.8183608636
241	0.8182161932
242	0.8180692011
243	0.8179297808
244	0.8177719921
245	0.8176069603
246	0.8174681194
247	0.8173004559
248	0.8171296911
249	0.8170229903
250	0.8168180961
251	0.8166542527
252	0.8165090389
253	0.8163608648
254	0.8161461651
255	0.8159819619
256	0.8158258997
257	0.8155956663
258	0.8154273643
259	0.815294376
260	0.8151464989
261	0.8150171958
262	0.8147884338
263	0.8146945444
264	0.8144963954
265	0.8142874727
266	0.8141432928
267	0.8140019469
268	0.8138568673
269	0.8136604933
270	0.8135154953
271	0.8133891411
272	0.8132280124
273	0.8130734249
274	0.8129305071
275	0.8127559139
276	0.8125896065
277	0.8124540464
278	0.8122966553
279	0.8121707206
280	0.8120526051
281	0.811899241
282	0.8117943413
283	0.811595077
284	0.8114573503
285	0.8113303255
286	0.8111778587
287	0.8109932021
288	0.8107988085
289	0.8106402296
290	0.8104839126
291	0.8103661518
292	0.8102532727
293	0.8100922019
294	0.8099602357
295	0.8098308887
296	0.8096769857
297	0.8095455605
298	0.8094088638
299	0.8093058101
300	0.8091722435
301	0.8090612779
302	0.8089471759
303	0.8088125594
304	0.8086427202
305	0.8084723616
306	0.8083562627
307	0.8082705418
308	0.8081610861
309	0.8080097799
310	0.807772793
311	0.8076212341
312	0.8074791068
313	0.8073815165
314	0.807256531
315	0.8071492771
316	0.8069677298
317	0.8068439531
318	0.8067081414
319	0.8065527515
320	0.8063878227
321	0.8062095044
322	0.8060428801
323	0.8058963492
324	0.8057831059
325	0.8056407874
326	0.8055023076
327	0.8053405241
328	0.8051416013
329	0.8049834397
330	0.8048062837
331	0.8046193743
332	0.8044844483
333	0.8043555298
334	0.8041983956
335	0.8040879655
336	0.8039807749
337	0.8038204006
338	0.8037047207
339	0.8035569696
340	0.8034304365
341	0.803307661
342	0.8031875513
343	0.8029726446
344	0.8028205077
345	0.8026761059
346	0.8025609622
347	0.8024395878
348	0.8023087712
349	0.8021469155
350	0.8020020123
351	0.8018345717
352	0.8017144915
353	0.8016138789
354	0.8014848339
355	0.8013803009
356	0.8012595193
357	0.801071336
358	0.8009495214
359	0.8008001415
360	0.8006887752
361	0.8005530405
362	0.8004240713
363	0.8002938314
364	0.8001439456
365	0.8000429494
366	0.79989746
367	0.7997548347
368	0.799628624
369	0.7994909406
370	0.7993611367
371	0.7992278426
372	0.799110652
373	0.799014391
374	0.7989088079
375	0.7987515486
376	0.7986070504
377	0.7984627724
378	0.7983431999
379	0.7981738126
380	0.7979982179
381	0.7978740028
382	0.7977345772
383	0.7976234693
384	0.7975074884
385	0.7973317959
386	0.7972238515
387	0.7970958615
388	0.7969874609
389	0.796865819
390	0.7967504838
391	0.7965766272
392	0.7964794834
393	0.7963273236
394	0.7961444662
395	0.7960239331
396	0.7958991633
397	0.7957056213
398	0.7955609972
399	0.7954122684
400	0.7952827953
401	0.795120254
402	0.794974435
403	0.7948306309
404	0.7946714775
405	0.7945210072
406	0.7944015639
407	0.7942872937
408	0.7941759693
409	0.7940487388
410	0.7939114977
411	0.7937117291
412	0.793604947
413	0.7934783443
414	0.7933418498
415	0.7932032274
416	0.7930831096
417	0.7929490333
418	0.7928009846
419	0.7926667664
420	0.7925010689
421	0.7924114873
422	0.792228863
423	0.7920655199
424	0.7919244901
425	0.7917881902
426	0.791684969
427	0.7915734423
428	0.7914990754
429	0.7914114036
430	0.7912738562
431	0.7911327417
432	0.7910495224
433	0.7909346423
434	0.7908261323
435	0.7906753407
436	0.7905415755
437	0.790450041
438	0.7903204205
439	0.7901959921
440	0.7900921107
441	0.7898817077
442	0.7897774563
443	0.7896685092
444	0.7895347413
445	0.7894016535
446	0.7893092769
447	0.7891996789
448	0.7890552834
449	0.7889278959
450	0.7888419118
451	0.7887751044
452	0.7886397177
453	0.7884769882
454	0.7883053822
455	0.7881778693
456	0.7880400346
457	0.7879286699
458	0.7878217253
459	0.7877046606
460	0.7876155887
461	0.7874849606
462	0.7873825289
463	0.7872587193
464	0.7871321192
465	0.7869999102
466	0.786863924
467	0.7867496304
468	0.7866130546
469	0.786484882
470	0.7863389614
471	0.7862262823
472	0.7860952478
473	0.7859954895
474	0.7858806833
475	0.7857602073
476	0.7856077738
477	0.7855007708
478	0.7853937608
479	0.7852688517
480	0.7851468701
481	0.7849901915
482	0.7848739356
483	0.7847747984
484	0.7846748837
485	0.7845532777
486	0.7844183516
487	0.7842823358
488	0.7841856917
489	0.7840615599
490	0.7839681739
491	0.783834923
492	0.7836691117
493	0.7836145223
494	0.7835051597
495	0.7833645886
496	0.7832681665
497	0.7831591238
498	0.7830586776
499	0.7829228221
500	0.782770818
501	0.7826313731
502	0.782508511
503	0.7823959472
504	0.7822973507
505	0.7822140834
506	0.7820394811
507	0.7819256328
508	0.7818250028
509	0.7817151297
510	0.781550509
511	0.7814172522
512	0.781249055
513	0.7811496486
514	0.7810576349
515	0.7809309506
516	0.780790148
517	0.7806560097
518	0.7805673625
519	0.780409124
520	0.7803260621
521	0.7801997088
522	0.7800581599
523	0.7799154967
524	0.7797942128
525	0.7796856979
526	0.7795782759
527	0.7794940278
528	0.7793690946
529	0.7792800663
530	0.779188569
531	0.7790396322
532	0.778902786
533	0.7787733294
534	0.7786375076
535	0.7784634726
536	0.7783068792
537	0.778159272
538	0.7780756779
539	0.7779010767
540	0.7777797649
541	0.7776482966
542	0.7775007078
543	0.7773855447
544	0.7772761906
545	0.7771893547
546	0.7770502505
547	0.7769441302
548	0.7768244017
549	0.7766804104
550	0.7765617195
551	0.776474672
552	0.7764011889
553	0.7762826251
554	0.7761626721
555	0.7760500009
556	0.7759604129
557	0.7758224018
558	0.7757119608
559	0.7755953814
560	0.7754799027
561	0.7753922489
562	0.7752386237
563	0.7751187799
564	0.775021566
565	0.7748960378
566	0.7748038565
567	0.7746845347
568	0.7745752877
569	0.7744703661
570	0.7743584247
571	0.7742566092
572	0.7741318107
573	0.7740150073
574	0.7738568679
575	0.7737392256
576	0.7736303764
577	0.7735172661
578	0.7733630366
579	0.7732353959
580	0.7730923557
581	0.7729885059
582	0.7728643432
583	0.7727514394
584	0.7726501873
585	0.772539297
586	0.7724373982
587	0.7723374348
588	0.7722053571
589	0.7720528645
590	0.7719573367
591	0.7718731285
592	0.7717530175
593	0.7716580333
594	0.7715506806
595	0.7714819006
596	0.7713302901
597	0.771225527
598	0.771123567
599	0.7710358981
600	0.770924303
601	0.7708627789
602	0.7707625757
603	0.7706804203
604	0.7705682207
605	0.770469667
606	0.7703530544
607	0.7702435353
608	0.7700985205
609	0.7699386302
610	0.7697901398
611	0.7696999171
612	0.7695886472
613	0.7695203681
614	0.7693977371
615	0.7692685675
616	0.7691580889
617	0.7690662237
618	0.768951422
619	0.7688465981
620	0.7687987186
621	0.7687070974
622	0.7685818293
623	0.7684779977
624	0.7683357189
625	0.7682225453
626	0.7680961674
627	0.7680219446
628	0.7679165389
629	0.7677894781
630	0.7676609233
631	0.7675844487
632	0.7675006591
633	0.767361385
634	0.7672771552
635	0.7671523706
636	0.7670054586
637	0.7668364248
638	0.7667038697
639	0.7666046311
640	0.7664539211
641	0.7663247339
642	0.7661898467
643	0.7660091208
644	0.7658826421
645	0.7657317439
646	0.7656253265
647	0.7654916428
648	0.765378965
649	0.7652761094
650	0.7651440978
651	0.7650364076
652	0.7649445524
653	0.7648534547
654	0.764745341
655	0.7646133404
656	0.764468637
657	0.7643618175
658	0.7642457595
659	0.7641043572
660	0.7639642131
661	0.763865372
662	0.7637818269
663	0.7636489225
664	0.7635016785
665	0.7634268321
666	0.763334991
667	0.763259198
668	0.763127059
669	0.7630110178
670	0.7629204774
671	0.7628182425
672	0.7627245979
673	0.7626225656
674	0.7624759235
675	0.7623917374
676	0.762286861
677	0.7621818411
678	0.7620736566
679	0.7619744864
680	0.7618284547
681	0.761676451
682	0.7616003062
683	0.7614508866
684	0.7613137722
685	0.7611962305
686	0.7610757245
687	0.7609363256
688	0.7608256776
689	0.7607230138
690	0.7605915746
691	0.7605140487
692	0.7603981828
693	0.7602765023
694	0.7601286595
695	0.7600006361
696	0.7599048564
697	0.7597541327
698	0.7596573762
699	0.7595435094
700	0.7594758963
701	0.7593941662
702	0.7592933269
703	0.7591586491
704	0.7590368141
705	0.7588809628
706	0.7587795019
707	0.7586826072
708	0.7585770508
709	0.7584715088
710	0.7583857587
711	0.7582402535
712	0.7581855144
713	0.7580850771
714	0.7579796163
715	0.7578438332
716	0.7577382525
717	0.75763671
718	0.7575178164
719	0.7574038727
720	0.7573005752
721	0.7572108588
722	0.7571219292
723	0.7569899623
724	0.7568836918
725	0.7567569065
726	0.756625169
727	0.7565353107
728	0.7564541922
729	0.7563763236
730	0.7563428981
731	0.7562105928
732	0.7561029759
733	0.75597868
734	0.7558426404
735	0.755731194
736	0.7556175498
737	0.755522314
738	0.755424464
739	0.7552638197
740	0.7551319831
741	0.7550487004
742	0.7549493159
743	0.7548719404
744	0.7547717001
745	0.7546931193
746	0.7545933124
747	0.7544943269
748	0.7543901622
749	0.7543170721
750	0.7542492505
751	0.7541428689
752	0.7540564812
753	0.7539883763
754	0.7538957549
755	0.7537401325
756	0.7536371527
757	0.7535139237
758	0.7534271786
759	0.7532996633
760	0.7531567247
761	0.7530633792
762	0.7529491444
763	0.7528616908
764	0.7527172288
765	0.7526318568
766	0.7525152069
767	0.7524134495
768	0.7523033083
769	0.7522249849
770	0.7521094107
771	0.7520296033
772	0.7519450374
773	0.7518300208
774	0.7516953382
775	0.7516177076
776	0.7515420845
777	0.7514080035
778	0.7513039178
779	0.7512033657
780	0.751127591
781	0.75101746
782	0.7508896775
783	0.7508113295
784	0.7507375283
785	0.7506561593
786	0.7505748424
787	0.7504718512
788	0.7503219242
789	0.7501959296
790	0.7500588449
791	0.7499463896
792	0.749815675
793	0.7497095208
794	0.7496215376
795	0.7495270261
796	0.749410626
797	0.7492552414
798	0.7492203792
799	0.7491064383
800	0.7489931019
801	0.7488742771
802	0.7487793243
803	0.7486554005
804	0.7485471541
805	0.7484640754
806	0.7483456996
807	0.7482554033
808	0.7481557682
809	0.7480544686
810	0.7479216021
811	0.7478251942
812	0.7477265611
813	0.7475525804
814	0.7474740102
815	0.7473725389
816	0.7471951722
817	0.7471162095
818	0.747032807
819	0.7469334221
820	0.7468470428
821	0.7467622349
822	0.7466952127
823	0.7465815063
824	0.7464798142
825	0.7463525998
826	0.7462671147
827	0.7461127316
828	0.746028259
829	0.7459530717
830	0.745804071
831	0.7457005197
832	0.7456235864
833	0.745497837
834	0.7454313081
835	0.7453577699
836	0.7452684805
837	0.7451996785
838	0.7451169855
839	0.7450234998
840	0.7449394562
841	0.7448606021
842	0.7447330823
843	0.7446471837
844	0.744578956
845	0.7444652246
846	0.7443384249
847	0.744260584
848	0.7441881476
849	0.7440658517
850	0.7439440505
851	0.7438737059
852	0.7438091841
853	0.7437359619
854	0.7436081429
855	0.7434892181
856	0.7433608037
857	0.7432484506
858	0.7431433938
859	0.743072239
860	0.7429703672
861	0.7428908499
862	0.742801596
863	0.7427113813
864	0.7425951408
865	0.7424777921
866	0.7423788579
867	0.7422842715
868	0.7421825201
869	0.7420765817
870	0.7419537414
871	0.741925161
872	0.7418349594
873	0.741766372
874	0.7416346096
875	0.7415194009
876	0.7414069823
877	0.741306395
878	0.7411953863
879	0.7410894907
880	0.7409930835
881	0.7409117232
882	0.7408000344
883	0.7407242602
884	0.7406037144
885	0.7405185219
886	0.7404191199
887	0.7403313876
888	0.7402249205
889	0.740113612
890	0.7399997931
891	0.7399116652
892	0.7398164181
893	0.7397087645
894	0.7396004057
895	0.7395013663
896	0.7393914575
897	0.7393442876
898	0.7392383398
899	0.7391248095
900	0.7390342669
901	0.7389556298
902	0.7388248185
903	0.7387278473
904	0.7386473672
905	0.7385360591
906	0.7383945963
907	0.7382584867
908	0.7381403503
909	0.7380555628
910	0.7379622003
911	0.7379118604
912	0.7378619815
913	0.7377377425
914	0.7376048294
915	0.737493691
916	0.7373844171
917	0.7373135424
918	0.737201172
919	0.7370993882
920	0.7369716272
921	0.7368755427
922	0.7367755013
923	0.736639187
924	0.7365701645
925	0.7364751585
926	0.7363750016
927	0.7362686718
928	0.7361842732
929	0.7360780258
930	0.7359852599
931	0.7359080774
932	0.7358124634
933	0.7356983439
934	0.735610041
935	0.7355104604
936	0.7354271373
937	0.7353679052
938	0.7352829725
939	0.7352149994
940	0.7350640084
941	0.7349465202
942	0.734839038
943	0.7347310278
944	0.7346308998
945	0.734546118
946	0.7344790259
947	0.7343839374
948	0.7343143656
949	0.7342511883
950	0.7342069967
951	0.7341181382
952	0.7340421831
953	0.7339038414
954	0.7338164789
955	0.7337203878
956	0.7336081405
957	0.7335358311
958	0.7334253824
959	0.7333218546
960	0.7332863524
961	0.7331876462
962	0.7331392034
963	0.7330083864
964	0.7328838193
965	0.7327953314
966	0.7326688696
967	0.7325322456
968	0.732442721
969	0.7323770766
970	0.7323028379
971	0.7322282104
972	0.7321613126
973	0.7320618128
974	0.731959947
975	0.7319043802
976	0.7318153296
977	0.7317186842
978	0.7315855232
979	0.7315139056
980	0.7314400981
981	0.7313658323
982	0.7313319136
983	0.7312467145
984	0.7312084605
985	0.7310767234
986	0.730967681
987	0.730864535
988	0.7307407451
989	0.7306278591
990	0.7305394761
991	0.7304285507
992	0.7303141695
993	0.7302520465
994	0.7302071621
995	0.7301213297
996	0.7300306712
997	0.7299504348
998	0.7298791724
999	0.7297625229
